	A_fennica_Af2_1A_cut	A_koskei_Sc705_5P_cut	A_koskei_WV658_1H_cut	A_koskei_WV685_1F_cut	A_trappei_CU132_5P_cut	Ac_koskei_WV685_1A_cut	Ac_koskei_WV685_1B_cut	Ac_koskei_WV685_1C_cut	Ac_morrowiae_BR983A_1A_cut	Ac_morrowiae_BR983A_1B_cut	Ac_morrowiae_BR983A_5A_cut	Am_gerdemannii_ON205A_1B_cut	Am_gerdemannii_ON205A_1B_SV_cut	Am_gerdemannii_ON205A_1C_SV_cut	C_corymbiforme_Blask5_1A_cut	C_corymbiforme_Blask5_1B_cut	C_corymbiforme_Blask5_1C_cut	C_luteum_SA101_5S_cut	D_heterogama_BEG35_1M_cut	D_heterogama_BEG35_1N_cut	D_heterogama_BEG35_1O_cut	De_heterogama_BR154_1A_cut	De_heterogama_BR154_1B_cut	De_heterogama_BR154_1C_cut	De_heterogama_IL203A_1A_cut	De_heterogama_IL203A_1B_cut	De_heterogama_IL203A_1C_cut	Di_epigaea_KS210_1A_cut	Di_epigaea_KS210_1C_cut	Di_epigaea_KS210_5A_cut	E_infrequens_Blask3_1F_cut	F_mosseae_BEG161_10A_cut	F_mosseae_BEG161_1A_cut	F_mosseae_BEG161_5B_cut	F_mosseae_BEG95_5A_cut	Fu_mosseae_BEG12_1A_cut	Fu_mosseae_BEG12_1B_cut	Fu_mosseae_BEG12_1C_cut	G_rosea_BEG9_1Na_ cut	G_rosea_BEG9_1Nb_cut	Gi_rosea_BR155B_1A_cut	Gi_rosea_BR155B_1B_cut	Gi_rosea_BR155B_1C_cut	Gi_rosea_KS885_1A_cut	Gi_rosea_KS885_1B_cut	Gi_rosea_KS885_1C_cut	P_laccatum_AH960_55_cut	P_occultum_CU126_10A_cut	P_occultum_CU126_10B_cut	P_occultum_CU126_5B_cut	R_irregularis_PH5_1A_cut	Ra_gregaria_BEG243_1A_cut	Ra_gregaria_BEG243_1B_cut	Ra_gregaria_BEG243_1C_cut	Racocetra_sp_179_Blask4_10A_cut	S_calospora_IL209_1A_cut	S_calospora_IL209_1C_cut	S_cerrevisiae_Yeast_cut	S_viscosum_AH179_15_1A_cut	S_viscosum_AH179_15_1B_cut	S_viscosum_AH179_15_1C_cut
zuzana_ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	100	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0
zuzana_ASV_50	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	112	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	37	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	105	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	118	0	0	0	0	0	0	0	0
zuzana_ASV_56	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_58	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	72	11	0	0	0	0	0	0	0
zuzana_ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	143	0	0	0	0
zuzana_ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	21	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	44	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	69	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	48	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana_ASV_68	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
